time,wind
t1,191.32
t2,1007.63
t3,266.4
t4,1151.21
t5,283.9
t6,1475.38
t7,330.19
t8,1790.6
t9,367.14
t10,1949.87
t11,443.19
t12,1941.85
t13,391.28
t14,1911.82
t15,314.66
t16,1808.2
t17,285.59
t18,1773.22
t19,236.21
t20,1631.25
t21,194.44
t22,1517.64
t23,224.8
t24,1578.67
t25,219.18
t26,1605.09
t27,179.88
t28,1412.27
t29,140.76
t30,1104.39
t31,140.94
t32,864.27
t33,113.24
t34,607.8
t35,89.32
t36,443
t37,65.39
t38,369.34
t39,57.81
t40,305.42
t41,53.51
t42,275.93
t43,35.57
t44,278.81
t45,33.95
t46,281.94
t47,38.31
t48,282.19
t49,45.6
t50,280.18
t51,41.69
t52,288.65
t53,33.94
t54,227.36
t55,29.06
t56,161.1
t57,27.25
t58,118.44
t59,29.81
t60,100.7
t61,32
t62,82.22
t63,31.49
t64,95.71
t65,33.57
t66,80.06
t67,33.71
t68,73.45
t69,32.19
t70,68.91
t71,30.34
t72,75.41
t73,29.29
t74,64.65
t75,31.12
t76,65.23
t77,31.14
t78,79.75
t79,32.53
t80,73.5
t81,30.88
t82,56.29
t83,25.11
t84,28.17
t85,26.76
t86,31.52
t87,27.85
t88,58.02
t89,28.1
t90,88.88
t91,27.88
t92,117.3
t93,39.49
t94,208.52
t95,54.45
t96,221.68
t97,64.33
t98,264.88
t99,69.33
t100,335.06
t101,77.62
t102,405.36
t103,83.03
t104,426.65
t105,109.55
t106,423.29
t107,111.11
t108,465.42
t109,124.37
t110,499.25
t111,143.6
t112,536.65
t113,162.27
t114,544.07
t115,190.27
t116,621.18
t117,209.03
t118,741.32
t119,229.71
t120,894.39
t121,201.45
t122,915.84
t123,172.26
t124,964.97
t125,170.21
t126,1041.16
t127,191.49
t128,1016.18
t129,205.84
t130,1057.29
t131,172.39
t132,1062.32
t133,210.2
t134,1177.18
t135,228.36
t136,1390.41
t137,240.66
t138,1584.22
t139,262.83
t140,1896.07
t141,307.56
t142,2213.42
t143,346.08
t144,2295.58
t145,338.87
t146,2363.2
t147,323.29
t148,2409.22
t149,318.06
t150,2456.63
t151,321.1
t152,2550.78
t153,368.67
t154,2652.95
t155,424.09
t156,2708.96
t157,493.25
t158,2689.49
t159,563.67
t160,2699.02
t161,574.86
t162,2791.08
t163,585.78
t164,2895.08
t165,417.66
t166,2952.81
t167,381.57
t168,2971.74